log2.expression log2.difference p adj.p
isogroup=0 8.16491223797684 0.192299798921183 0.159163552667519 0.596140692567606
isogroup=1 6.51889989642005 0.106721621869814 0.894827348422603 0.976964280673707
isogroup=10 7.90221987158882 -0.0708763289088491 0.140520685841059 0.570437628609808
isogroup=100 7.26273513402846 -0.151171943690759 0.482620021676349 0.835957181808612
isogroup=1000 3.61291856099473 -0.0650652373373002 0.870582570719054 0.972114985524409
isogroup=10000 2.11467846735094 -0.803548661988349 0.204699492433808 0.646207635884298
isogroup=10001 1.09452084288163 -0.0328793363982681 0.734423789085504 0.93173029903422
isogroup=10002 0.649238517575995 -0.179336315519831 0.484956396947021 0.836437342694889
isogroup=10003 3.6238994054368 0.0706250917986226 0.378666093152018 0.779879479389212
isogroup=10004 2.57300833288048 0.0568890754966576 0.884882731517132 0.975044996369424
isogroup=10005 4.65314957696645 0.613334224063545 1.72606580695067e-07 0.00016177421013084
isogroup=10006 1.00451196400933 0.438112934010703 0.386919269438442 0.785367582604152
isogroup=10007 4.1546291419626 0.0290422870930949 0.381401882989932 0.782149505304045
isogroup=10008 3.29984317196122 -1.16393639915161 9.30902381623966e-07 0.000553689995408609
isogroup=10009 3.10693062064345 -0.39176513883335 0.512094861424951 0.848002935708123
isogroup=1001 5.00881007100886 -0.0241715074784884 0.937184187640963 0.986998424800713
isogroup=10010 0.986787860540315 0.289529694872163 0.638994809077322 0.899803573198223
isogroup=10011 3.56209178799659 0.0118833322320766 0.920650956620809 0.983394177103035
isogroup=10012 0.42943016163796 0.264176500219877 0.491125385831116 0.838488980047229
isogroup=10013 2.98038626313724 0.23450825761221 0.785393196715488 0.946920177731609
isogroup=10014 5.13573838398575 -0.120485539567083 0.936747053512846 0.986921081494234
isogroup=10015 2.90978356439134 0.0134745851012242 0.0741529413369169 0.449789433733968
isogroup=10016 0.906343239978163 0.0913928880428094 0.704383123936147 0.922075092271127
isogroup=10017 3.28609594591219 -0.0670929354785185 0.40002270438134 0.794036836188117
isogroup=10018 2.86279861996385 0.677950411073154 0.0148947727611398 0.221901757787292
isogroup=10019 3.67564377653335 -0.141837286639855 0.646056112183188 0.903068441088104
isogroup=1002 3.0810203581105 -0.159129472436213 0.0223189731671188 0.26828741589033
isogroup=10020 3.89301547451371 -0.340147533927525 0.298008492892424 0.729425396313131
isogroup=10021 2.5963554663931 0.252442501530045 0.367821510417183 0.773134886548608
isogroup=10022 2.02580806850453 0.0769253174197489 0.614664114144435 0.891890032592942
isogroup=10023 4.30314883145354 0.133623015525817 0.333845446391112 0.751656534281917
isogroup=10024 3.51079624247562 0.209814931103759 0.539694249064613 0.860591171663609
isogroup=10025 3.15358851090826 -0.172268601533375 0.275535715944424 0.709460885651439
isogroup=10026 1.81783796379157 0.0672066193790148 0.937269555096043 0.987005721732822
isogroup=10027 5.86609907714868 -0.0399788180544797 0.666625676186515 0.908115772314636
isogroup=10028 1.0378187497568 0.107115960552381 0.356209796630875 0.766132640535668
isogroup=10029 0.095940790579259 -0.0548520257421858 0.691420208941705 0.917797331309552
isogroup=1003 2.24792827897017 -0.0466225619561297 0.973396977682503 0.995802505172521
isogroup=10030 2.85343275201336 -0.221328501619735 0.271665774938257 0.706647254935738
isogroup=10031 1.70813221434971 -0.312230591598021 0.0553256507983269 0.39807434820913
isogroup=10032 -0.870419589346961 1.34582460629259 0.0321512548464902 0.318311831353103
isogroup=10033 1.82382704577075 -0.390544532083451 0.716592087351223 0.925365642313225
isogroup=10034 3.78045704628492 -0.138366649932537 0.0681856267508947 0.432850053429248
isogroup=10035 2.93548935092458 -0.00560839653405049 0.887754236232621 0.975492843354281
isogroup=10036 3.07481582430559 0.135168870924185 0.963041718828967 0.992268549592282
isogroup=10037 -0.856868241345115 0.799569928324798 0.495297489375342 0.840265995643277
isogroup=10038 2.76526868405883 -1.06431307517898 0.00658462510225866 0.15267023164873
isogroup=1004 5.86358421218095 0.0147125555585907 0.120915949832889 0.539494341447831
isogroup=10040 3.89658356650314 0.0457739734949468 0.911919124683516 0.981430444600045
isogroup=10041 3.72372807646971 -0.155400668473086 0.227485987252506 0.666595367099267
isogroup=10042 2.23850329931948 -0.0796495706847764 0.2844054029075 0.716535284072145
isogroup=10043 2.6956483260906 -0.355775712590623 0.0849101226859678 0.474912078593418
